Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Romania,Superliga,2019/2020,12/07/2019,16:30,FC Voluntari,Sepsi Sf. Gheorghe,0,0,D,2.61,3.06,3.07,2.65,3.08,3.07,2.51,2.96,2.9,,,
Romania,Superliga,2019/2020,13/07/2019,16:00,Astra,FC Botosani,2,2,D,2.32,3.14,3.49,2.35,3.14,3.6,2.24,3.04,3.3,,,
Romania,Superliga,2019/2020,13/07/2019,19:00,CFR Cluj,Poli Iasi,1,1,D,1.47,4.09,8.64,1.56,4.09,8.75,1.49,3.66,7.35,,,
Romania,Superliga,2019/2020,14/07/2019,16:00,U Craiova,Academica Clinceni,3,2,H,1.44,4.46,8.09,1.48,4.46,9.5,1.43,4.15,7.22,,,
Romania,Superliga,2019/2020,14/07/2019,19:00,FCSB,FC Hermannstadt,4,3,H,1.48,4.04,8.5,1.49,4.35,8.7,1.44,3.97,7.33,,,
Romania,Superliga,2019/2020,15/07/2019,16:00,Gaz Metan Medias,Chindia Targoviste,2,2,D,1.69,3.72,5.59,1.77,3.75,5.6,1.66,3.51,5.12,,,
Romania,Superliga,2019/2020,15/07/2019,19:00,Viitorul Constanta,Din. Bucuresti,5,0,H,2.15,3.31,3.73,2.2,3.38,3.73,2.09,3.2,3.47,,,
Romania,Superliga,2019/2020,19/07/2019,16:00,FC Hermannstadt,Gaz Metan Medias,0,2,A,3.63,3.37,2.16,3.8,3.38,2.3,3.39,3.17,2.13,,,
Romania,Superliga,2019/2020,19/07/2019,19:00,Chindia Targoviste,Viitorul Constanta,0,1,A,5.48,4.05,1.64,6.25,4.2,1.65,5.26,3.8,1.6,,,
Romania,Superliga,2019/2020,20/07/2019,16:00,FC Botosani,FC Voluntari,4,1,H,1.99,3.4,4.22,2.05,3.4,4.22,1.95,3.25,3.84,,,
Romania,Superliga,2019/2020,20/07/2019,19:00,Academica Clinceni,CFR Cluj,1,4,A,5.76,3.67,1.69,5.76,3.67,1.72,5.25,3.47,1.67,,,
Romania,Superliga,2019/2020,21/07/2019,16:00,Poli Iasi,Astra,1,0,H,2.85,3.11,2.76,2.85,3.2,2.8,2.69,3.0,2.67,,,
Romania,Superliga,2019/2020,21/07/2019,19:00,Din. Bucuresti,U Craiova,0,2,A,2.85,3.21,2.69,2.87,3.3,2.69,2.74,3.12,2.53,,,
Romania,Superliga,2019/2020,22/07/2019,19:00,Sepsi Sf. Gheorghe,FCSB,0,0,D,5.76,3.83,1.66,5.8,3.94,1.66,5.32,3.73,1.61,,,
Romania,Superliga,2019/2020,26/07/2019,16:00,Poli Iasi,Academica Clinceni,2,0,H,1.74,3.68,5.25,1.78,3.68,5.25,1.73,3.44,4.73,,,
Romania,Superliga,2019/2020,26/07/2019,19:00,FC Voluntari,Astra,1,2,A,2.81,3.32,2.65,3.1,3.32,2.65,2.8,3.15,2.46,,,
Romania,Superliga,2019/2020,27/07/2019,16:00,Gaz Metan Medias,Sepsi Sf. Gheorghe,1,1,D,1.76,3.72,4.98,1.86,3.72,5.25,1.76,3.38,4.63,,,
Romania,Superliga,2019/2020,27/07/2019,19:00,CFR Cluj,Din. Bucuresti,1,0,H,1.54,3.9,7.37,1.55,4.05,7.5,1.5,3.81,6.53,,,
